Beneficiários por Município
Excl. Odontológico por Município e Faixa etária
Sexo: Feminino
UF: Paraná
Período:Dez/2017
"Município";"Até 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos ou mais";"Inconsistente";"Total"
"410010 Abatiá";1;4;4;3;9;10;11;14;16;4;4;2;1;0;0;0;0;0;0;83
"410020 Adrianópolis";0;7;4;10;7;14;9;18;8;5;6;6;2;2;0;0;0;1;0;99
"410030 Agudos do Sul";0;2;10;18;12;15;15;27;20;13;9;4;4;0;1;0;0;1;0;151
"410040 Almirante Tamandaré";19;199;415;439;411;649;815;839;724;483;339;244;176;84;44;24;20;6;0;5930
"410045 Altamira do Paraná";0;1;1;0;0;0;2;2;0;0;0;0;1;0;0;0;0;0;0;7
"412862 Alto Paraíso";0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;4
"410060 Alto Paraná";0;1;1;0;0;2;4;5;5;1;1;0;3;1;0;1;0;0;0;25
"410070 Alto Piquiri";0;2;2;1;0;1;4;2;4;2;0;2;3;0;0;0;0;0;0;23
"410050 Altônia";0;0;2;2;0;3;3;4;4;4;7;0;2;1;0;0;0;0;0;32
"410080 Alvorada do Sul";0;0;2;2;5;6;8;12;11;6;4;5;3;5;1;3;0;0;0;73
"410090 Amaporã";0;0;0;0;0;2;1;3;0;0;0;2;0;0;1;0;0;0;0;9
"410100 Ampére";0;2;1;2;1;3;1;2;1;1;1;0;1;0;0;1;0;0;0;17
"410105 Anahy";0;0;0;1;0;2;2;1;0;0;1;0;0;0;0;0;0;0;0;7
"410110 Andirá";1;6;5;12;12;17;13;19;23;21;20;14;11;3;3;2;2;0;0;184
"410115 Ângulo";0;0;2;1;2;2;7;5;1;2;3;2;0;1;0;0;0;0;0;28
"410120 Antonina";2;12;28;37;26;36;32;52;23;25;19;18;12;7;4;0;3;3;0;339
"410130 Antônio Olinto";0;0;3;3;4;6;9;12;11;6;6;5;0;0;2;0;0;0;0;67
"410140 Apucarana";3;42;77;69;79;108;147;175;117;116;102;83;61;27;27;9;2;2;0;1246
"410150 Arapongas";7;39;87;71;93;163;246;266;196;173;121;117;72;37;41;22;23;25;0;1799
"410160 Arapoti";0;20;41;57;40;57;90;94;81;39;36;14;7;7;1;1;0;0;0;585
"410165 Arapuã";0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;3
"410170 Araruna";1;5;11;18;12;25;29;26;25;27;15;12;5;4;1;1;1;0;0;218
"410180 Araucária";71;589;948;918;1037;1287;1717;1842;1665;1155;836;571;303;168;76;33;25;24;4;13269
"410185 Ariranha do Ivaí";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"410190 Assaí";0;3;4;6;10;10;8;12;9;12;14;16;8;14;6;3;4;4;0;143
"410200 Assis Chateaubriand";0;11;13;16;16;25;47;21;31;33;12;10;15;2;3;2;0;0;0;257
"410210 Astorga";1;7;15;22;18;38;54;58;47;46;39;44;14;9;0;2;0;0;0;414
"410220 Atalaia";0;0;1;4;1;5;3;10;5;4;3;1;1;0;0;0;0;0;0;38
"410230 Balsa Nova";6;43;57;76;71;95;96;106;88;78;47;40;15;15;4;5;5;4;0;851
"410240 Bandeirantes";0;19;15;20;17;27;33;41;28;19;23;21;13;9;8;2;0;1;0;296
"410250 Barbosa Ferraz";0;2;4;2;3;9;9;8;6;9;3;3;6;2;0;0;1;0;0;67
"410270 Barra do Jacaré";0;1;1;0;2;1;1;0;0;2;0;2;0;2;0;0;0;0;0;12
"410260 Barracão";0;1;2;4;1;1;0;2;5;1;2;1;2;1;2;0;0;0;0;25
"410275 Bela Vista da Caroba";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2
"410280 Bela Vista do Paraíso";0;9;7;8;12;18;24;30;23;11;20;18;9;10;16;4;0;6;0;225
"410290 Bituruna";0;1;5;3;4;14;10;8;5;4;4;3;1;0;0;0;0;0;0;62
"410300 Boa Esperança";0;1;0;0;5;5;7;3;2;5;5;0;1;0;0;0;0;0;0;34
