Beneficiários por Município
Excl. Odontológico por Município e Faixa etária
Sexo: Feminino
UF: Paraná
Município: 410010 Abatiá, 410020 Adrianópolis, 410030 Agudos do Sul, 410040 Almirante Tamandaré, 410045 Altamira do Paraná, 412862 Alto Paraíso, 410060 Alto Paraná, 410070 Alto Piquiri, 410050 Altônia, 410080 Alvorada do Sul, 410090 Amaporã, 410100 Ampére, 410105 Anahy, 410110 Andirá, 410115 Ângulo, 410120 Antonina, 410130 Antônio Olinto, 410140 Apucarana, 410150 Arapongas, 410160 Arapoti, 410165 Arapuã, 410170 Araruna, 410180 Araucária, 410185 Ariranha do Ivaí, 410190 Assaí, 410200 Assis Chateaubriand, 410210 Astorga, 410220 Atalaia, 410230 Balsa Nova, 410240 Bandeirantes, 410250 Barbosa Ferraz, 410270 Barra do Jacaré, 410260 Barracão, 410275 Bela Vista da Caroba, 410280 Bela Vista do Paraíso, 410290 Bituruna, 410300 Boa Esperança, 410302 Boa Esperança do Iguaçu, 410304 Boa Ventura de São Roque, 410305 Boa Vista da Aparecida, 410310 Bocaiúva do Sul, 410315 Bom Jesus do Sul, 410320 Bom Sucesso, 410322 Bom Sucesso do Sul, 410330 Borrazópolis, 410335 Braganey, 410337 Brasilândia do Sul, 410340 Cafeara, 410345 Cafelândia, 410347 Cafezal do Sul, 410350 Califórnia, 410360 Cambará, 410370 Cambé, 410380 Cambira, 410390 Campina da Lagoa, 410395 Campina do Simão, 410400 Campina Grande do Sul, 410405 Campo Bonito, 410410 Campo do Tenente, 410420 Campo Largo, 410425 Campo Magro, 410430 Campo Mourão, 410440 Cândido de Abreu, 410442 Candói, 410445 Cantagalo, 410450 Capanema, 410460 Capitão Leônidas Marques, 410465 Carambeí, 410470 Carlópolis, 410480 Cascavel, 410490 Castro, 410500 Catanduvas, 410510 Centenário do Sul, 410520 Cerro Azul, 410530 Céu Azul, 410540 Chopinzinho, 410550 Cianorte, 410560 Cidade Gaúcha, 410570 Clevelândia, 410580 Colombo, 410590 Colorado, 410600 Congonhinhas, 410610 Conselheiro Mairinck, 410620 Contenda, 410630 Corbélia, 410640 Cornélio Procópio, 410645 Coronel Domingos Soares, 410650 Coronel Vivida, 410655 Corumbataí do Sul, 410680 Cruz Machado, 410657 Cruzeiro do Iguaçu, 410660 Cruzeiro do Oeste, 410670 Cruzeiro do Sul, 410685 Cruzmaltina, 410690 Curitiba, 410700 Curiúva, 410715 Diamante D'Oeste, 410710 Diamante do Norte, 410712 Diamante do Sul, 410720 Dois Vizinhos, 410725 Douradina, 410730 Doutor Camargo, 412863 Doutor Ulysses, 410740 Enéas Marques, 410750 Engenheiro Beltrão, 410753 Entre Rios do Oeste, 410752 Esperança Nova, 410754 Espigão Alto do Iguaçu, 410755 Farol, 410760 Faxinal, 410765 Fazenda Rio Grande, 410770 Fênix, 410773 Fernandes Pinheiro, 410775 Figueira, 410785 Flor da Serra do Sul, 410780 Floraí, 410790 Floresta, 410800 Florestópolis, 410810 Flórida, 410820 Formosa do Oeste, 410830 Foz do Iguaçu, 410845 Foz do Jordão, 410832 Francisco Alves, 410840 Francisco Beltrão, 410850 General Carneiro, 410855 Godoy Moreira, 410860 Goioerê, 410865 Goioxim, 410870 Grandes Rios, 410880 Guaíra, 410890 Guairaçá, 410895 Guamiranga, 410900 Guapirama, 410910 Guaporema, 410920 Guaraci, 410930 Guaraniaçu, 410940 Guarapuava, 410950 Guaraqueçaba, 410960 Guaratuba, 410965 Honório Serpa, 410970 Ibaiti, 410975 Ibema, 410980 Ibiporã, 410990 Icaraíma, 411000 Iguaraçu, 411005 Iguatu, 411007 Imbaú, 411010 Imbituva, 411020 Inácio Martins, 411030 Inajá, 411040 Indianópolis, 411050 Ipiranga, 411060 Iporã, 411065 Iracema do Oeste, 411070 Irati, 411080 Iretama, 411090 Itaguajé, 411095 Itaipulândia, 411100 Itambaracá, 411110 Itambé, 411120 Itapejara d'Oeste, 411125 Itaperuçu, 411130 Itaúna do Sul, 411140 Ivaí, 411150 Ivaiporã, 411155 Ivaté, 411160 Ivatuba, 411170 Jaboti, 411180 Jacarezinho, 411190 Jaguapitã, 411200 Jaguariaíva, 411210 Jandaia do Sul, 411220 Janiópolis, 411230 Japira, 411240 Japurá, 411250 Jardim Alegre, 411260 Jardim Olinda, 411270 Jataizinho, 411275 Jesuítas, 411280 Joaquim Távora, 411290 Jundiaí do Sul, 411295 Juranda, 411300 Jussara, 411310 Kaloré, 411320 Lapa, 411325 Laranjal, 411330 Laranjeiras do Sul, 411340 Leópolis, 411342 Lidianópolis, 411345 Lindoeste, 411350 Loanda, 411360 Lobato, 411370 Londrina, 411373 Luiziana, 411375 Lunardelli, 411380 Lupionópolis, 411390 Mallet, 411400 Mamborê, 411410 Mandaguaçu, 411420 Mandaguari, 411430 Mandirituba, 411435 Manfrinópolis, 411440 Mangueirinha, 411450 Manoel Ribas, 411460 Marechal Cândido Rondon, 411470 Maria Helena, 411480 Marialva, 411490 Marilândia do Sul, 411500 Marilena, 411510 Mariluz, 411520 Maringá, 411530 Mariópolis, 411535 Maripá, 411540 Marmeleiro, 411545 Marquinho, 411550 Marumbi, 411560 Matelândia, 411570 Matinhos, 411573 Mato Rico, 411575 Mauá da Serra, 411580 Medianeira, 411585 Mercedes, 411590 Mirador, 411600 Miraselva, 411605 Missal, 411610 Moreira Sales, 411620 Morretes, 411630 Munhoz de Melo, 411640 Nossa Senhora das Graças, 411650 Nova Aliança do Ivaí, 411660 Nova América da Colina, 411670 Nova Aurora, 411680 Nova Cantu, 411690 Nova Esperança, 411695 Nova Esperança do Sudoeste, 411700 Nova Fátima, 411705 Nova Laranjeiras, 411710 Nova Londrina, 411720 Nova Olímpia, 411725 Nova Prata do Iguaçu, 411721 Nova Santa Bárbara, 411722 Nova Santa Rosa, 411727 Nova Tebas, 411729 Novo Itacolomi, 411730 Ortigueira, 411740 Ourizona, 411745 Ouro Verde do Oeste, 411750 Paiçandu, 411760 Palmas, 411770 Palmeira, 411780 Palmital, 411790 Palotina, 411800 Paraíso do Norte, 411810 Paranacity, 411820 Paranaguá, 411830 Paranapoema, 411840 Paranavaí, 411845 Pato Bragado, 411850 Pato Branco, 411860 Paula Freitas, 411870 Paulo Frontin, 411880 Peabiru, 411885 Perobal, 411890 Pérola, 411900 Pérola d'Oeste, 411910 Piên, 411915 Pinhais, 411925 Pinhal de São Bento, 411920 Pinhalão, 411930 Pinhão, 411940 Piraí do Sul, 411950 Piraquara, 411960 Pitanga, 411965 Pitangueiras, 411970 Planaltina do Paraná, 411980 Planalto, 411990 Ponta Grossa, 411995 Pontal do Paraná, 412000 Porecatu, 412010 Porto Amazonas, 412015 Porto Barreiro, 412020 Porto Rico, 412030 Porto Vitória, 412033 Prado Ferreira, 412035 Pranchita, 412040 Presidente Castelo Branco, 412050 Primeiro de Maio, 412060 Prudentópolis, 412065 Quarto Centenário, 412070 Quatiguá, 412080 Quatro Barras, 412085 Quatro Pontes, 412090 Quedas do Iguaçu, 412100 Querência do Norte, 412110 Quinta do Sol, 412120 Quitandinha, 412125 Ramilândia, 412130 Rancho Alegre, 412135 Rancho Alegre D'Oeste, 412140 Realeza, 412150 Rebouças, 412160 Renascença, 412170 Reserva, 412175 Reserva do Iguaçu, 412180 Ribeirão Claro, 412190 Ribeirão do Pinhal, 412200 Rio Azul, 412210 Rio Bom, 412215 Rio Bonito do Iguaçu, 412217 Rio Branco do Ivaí, 412220 Rio Branco do Sul, 412230 Rio Negro, 412240 Rolândia, 412250 Roncador, 412260 Rondon, 412265 Rosário do Ivaí, 412270 Sabáudia, 412280 Salgado Filho, 412290 Salto do Itararé, 412300 Salto do Lontra, 412310 Santa Amélia, 412320 Santa Cecília do Pavão, 412330 Santa Cruz de Monte Castelo, 412340 Santa Fé, 412350 Santa Helena, 412360 Santa Inês, 412370 Santa Isabel do Ivaí, 412380 Santa Izabel do Oeste, 412382 Santa Lúcia, 412385 Santa Maria do Oeste, 412390 Santa Mariana, 412395 Santa Mônica, 412402 Santa Tereza do Oeste, 412405 Santa Terezinha de Itaipu, 412400 Santana do Itararé, 412410 Santo Antônio da Platina, 412420 Santo Antônio do Caiuá, 412430 Santo Antônio do Paraíso, 412440 Santo Antônio do Sudoeste, 412450 Santo Inácio, 412460 São Carlos do Ivaí, 412470 São Jerônimo da Serra, 412480 São João, 412490 São João do Caiuá, 412500 São João do Ivaí, 412510 São João do Triunfo, 412520 São Jorge d'Oeste, 412530 São Jorge do Ivaí, 412535 São Jorge do Patrocínio, 412540 São José da Boa Vista, 412545 São José das Palmeiras, 412550 São José dos Pinhais, 412555 São Manoel do Paraná, 412560 São Mateus do Sul, 412570 São Miguel do Iguaçu, 412575 São Pedro do Iguaçu, 412580 São Pedro do Ivaí, 412590 São Pedro do Paraná, 412600 São Sebastião da Amoreira, 412610 São Tomé, 412620 Sapopema, 412625 Sarandi, 412627 Saudade do Iguaçu, 412630 Sengés, 412635 Serranópolis do Iguaçu, 412640 Sertaneja, 412650 Sertanópolis, 412660 Siqueira Campos, 412665 Sulina, 412667 Tamarana, 412670 Tamboara, 412680 Tapejara, 412690 Tapira, 412700 Teixeira Soares, 412710 Telêmaco Borba, 412720 Terra Boa, 412730 Terra Rica, 412740 Terra Roxa, 412750 Tibagi, 412760 Tijucas do Sul, 412770 Toledo, 412780 Tomazina, 412785 Três Barras do Paraná, 412788 Tunas do Paraná, 412790 Tuneiras do Oeste, 412795 Tupãssi, 412796 Turvo, 412800 Ubiratã, 412810 Umuarama, 412820 União da Vitória, 412830 Uniflor, 412840 Uraí, 412853 Ventania, 412855 Vera Cruz do Oeste, 412860 Verê, 412865 Virmond, 412870 Vitorino, 412850 Wenceslau Braz, 412880 Xambrê, 410000 Município ignorado - PR
Período:Jun/2015
"Município";"Até 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos ou mais";"Inconsistente";"Total"
"410010 Abatiá";0;13;6;4;9;15;17;13;11;7;3;1;1;0;0;0;0;0;0;100
"410020 Adrianópolis";0;0;0;0;0;3;0;2;0;0;1;1;0;0;1;0;0;0;0;8
"410030 Agudos do Sul";0;2;14;8;6;11;22;23;13;9;7;1;1;1;0;0;0;0;0;118
"410040 Almirante Tamandaré";10;167;369;341;385;598;737;708;507;370;264;175;113;57;20;10;8;2;0;4841
"410045 Altamira do Paraná";0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;3
"412862 Alto Paraíso";0;0;0;0;4;1;3;0;2;1;1;1;0;0;0;0;0;0;0;13
"410060 Alto Paraná";0;0;1;1;0;4;6;6;3;1;1;0;1;2;0;0;0;0;0;26
"410070 Alto Piquiri";0;0;2;0;0;3;2;3;0;0;1;1;0;0;0;0;0;0;0;12
"410050 Altônia";0;0;2;0;0;3;4;7;3;3;3;2;2;0;0;0;0;0;0;29
"410080 Alvorada do Sul";0;2;3;2;8;2;11;8;7;5;7;6;9;2;0;1;0;0;0;73
"410090 Amaporã";0;0;3;2;1;3;5;6;4;7;3;0;0;0;0;0;0;0;0;34
"410100 Ampére";1;1;1;1;3;3;2;2;4;1;1;0;0;0;0;0;0;0;0;20
"410105 Anahy";0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;4
"410110 Andirá";2;2;6;7;7;8;12;14;10;11;12;9;3;2;1;0;0;0;0;106
"410115 Ângulo";0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2
"410120 Antonina";4;11;31;28;14;20;32;31;23;24;17;13;15;4;3;0;1;1;0;272
"410130 Antônio Olinto";0;0;0;1;3;2;2;3;2;1;0;1;0;0;0;0;0;0;0;15
"410140 Apucarana";3;54;98;68;71;103;148;145;131;109;93;69;51;30;19;5;2;2;0;1201
"410150 Arapongas";5;31;49;32;82;138;171;163;139;102;92;65;54;33;33;21;20;19;0;1249
"410160 Arapoti";1;5;23;15;17;24;41;42;25;20;11;6;7;2;1;0;0;0;0;240
"410165 Arapuã";0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;3
"410170 Araruna";0;1;10;8;6;9;11;9;12;9;2;0;1;1;0;0;1;0;0;80
"410180 Araucária";76;509;972;927;994;1228;1698;1676;1399;989;707;485;237;114;42;7;16;12;6;12094
"410185 Ariranha do Ivaí";0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2
"410190 Assaí";0;3;4;6;5;12;18;9;17;9;11;18;10;13;4;3;2;5;0;149
"410200 Assis Chateaubriand";1;8;10;11;14;14;24;31;21;19;10;8;5;2;1;1;0;0;0;180
"410210 Astorga";1;3;7;5;10;19;27;35;26;21;19;21;8;3;3;0;0;0;0;208
"410220 Atalaia";0;0;0;0;2;2;4;7;0;2;2;0;0;0;0;0;0;0;0;19
"410230 Balsa Nova";6;49;73;77;77;83;127;91;76;74;44;26;13;6;5;1;3;1;0;832
"410240 Bandeirantes";3;8;18;10;10;16;27;33;13;11;11;11;12;8;6;0;1;0;0;198
"410250 Barbosa Ferraz";0;0;4;1;0;2;1;6;1;2;1;5;3;0;0;1;0;0;0;27
"410270 Barra do Jacaré";1;0;1;2;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;7
"410260 Barracão";1;2;1;3;0;1;3;6;5;1;1;1;2;2;0;1;0;0;0;30
"410275 Bela Vista da Caroba";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"410280 Bela Vista do Paraíso";2;11;4;7;12;18;20;28;17;13;21;9;8;11;7;3;3;4;0;198
"410290 Bituruna";0;1;3;0;0;3;3;5;1;2;1;2;0;1;0;0;0;0;0;22
"410300 Boa Esperança";0;0;0;1;3;1;1;3;2;1;2;1;0;0;0;0;0;0;0;15
"410302 Boa Esperança do Iguaçu";0;0;1;1;0;3;2;2;0;0;0;0;0;0;0;0;0;0;0;9
"410304 Boa Ventura de São Roque";0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;3
"410305 Boa Vista da Aparecida";0;0;0;0;2;0;3;3;0;3;1;0;0;0;0;0;0;0;0;12
"410310 Bocaiúva do Sul";0;1;4;13;11;15;23;18;14;6;6;4;7;2;0;0;0;0;0;124
"410320 Bom Sucesso";0;0;1;0;0;2;1;4;2;1;0;1;0;0;0;0;0;0;0;12
"410322 Bom Sucesso do Sul";0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;4
"410330 Borrazópolis";0;0;3;0;1;1;2;3;1;1;0;1;0;0;0;0;0;0;0;13
"410335 Braganey";0;0;1;2;1;7;1;3;2;2;1;1;0;0;0;0;0;0;0;21
"410337 Brasilândia do Sul";0;0;2;0;1;0;4;0;1;0;1;0;1;0;0;0;0;0;0;10
"410340 Cafeara";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
"410345 Cafelândia";0;13;18;28;44;72;124;95;88;79;67;44;11;4;3;2;1;1;0;694
"410347 Cafezal do Sul";0;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;5
"410350 Califórnia";0;0;0;1;1;1;0;1;0;0;1;1;1;0;0;0;0;0;0;7
"410360 Cambará";0;1;4;5;5;4;8;11;4;6;7;4;6;7;4;0;0;0;0;76
"410370 Cambé";27;150;200;216;247;330;508;559;463;341;293;201;115;58;35;19;15;13;0;3790
"410380 Cambira";1;1;2;1;3;4;3;3;5;3;2;2;1;0;1;0;0;0;0;32
"410390 Campina da Lagoa";0;1;4;5;1;3;5;10;2;6;3;2;2;1;0;0;0;0;0;45
"410400 Campina Grande do Sul";9;85;140;160;177;266;363;343;277;219;146;87;48;20;13;4;1;4;0;2362
"410405 Campo Bonito";0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;4
"410410 Campo do Tenente";0;0;0;0;3;0;0;2;2;1;3;0;1;0;1;0;0;0;0;13
"410420 Campo Largo";26;281;532;496;519;811;1040;1022;857;604;469;300;173;96;42;18;14;27;0;7327
"410425 Campo Magro";1;48;117;123;120;206;223;235;225;184;134;90;57;34;17;8;2;3;0;1827
"410430 Campo Mourão";7;85;173;170;221;298;443;428;376;309;254;154;87;36;27;10;1;0;0;3079
"410440 Cândido de Abreu";0;1;4;1;1;1;10;2;1;1;0;1;0;0;0;0;0;0;0;23
"410442 Candói";0;2;1;1;1;9;5;6;3;2;3;4;0;1;0;0;0;0;0;38
"410445 Cantagalo";0;1;4;2;4;9;16;7;9;6;6;8;1;0;2;0;0;0;0;75
"410450 Capanema";0;5;4;2;1;5;7;9;5;4;4;0;0;3;2;0;0;0;0;51
"410460 Capitão Leônidas Marques";0;1;1;2;2;2;2;1;2;4;1;2;2;1;1;0;0;0;0;24
"410465 Carambeí";3;34;122;141;103;110;177;171;156;123;68;28;10;2;2;0;0;0;0;1250
"410470 Carlópolis";0;0;1;4;0;3;2;4;3;2;3;2;0;0;0;0;1;0;0;25
"410480 Cascavel";36;352;576;499;678;1256;1499;1408;1081;811;643;412;279;139;62;25;11;1;0;9768
"410490 Castro";3;131;192;229;209;331;360;353;290;187;143;77;41;14;5;4;0;1;0;2570
"410500 Catanduvas";0;1;2;1;5;4;2;2;5;1;1;1;0;0;0;0;0;0;0;25
"410510 Centenário do Sul";0;0;1;3;1;3;3;3;2;6;4;4;0;3;1;1;0;0;0;35
"410520 Cerro Azul";0;0;1;0;2;1;1;0;3;3;2;3;0;1;1;0;0;0;0;18
"410530 Céu Azul";0;1;5;2;3;4;5;9;4;4;3;2;1;1;0;0;0;0;0;44
"410540 Chopinzinho";0;2;1;1;5;9;9;6;3;5;3;3;5;0;0;0;0;0;0;52
"410550 Cianorte";0;16;27;20;57;114;172;115;98;88;64;37;29;13;7;2;2;2;0;863
"410560 Cidade Gaúcha";0;1;3;1;3;3;5;3;5;3;1;2;5;1;0;0;0;0;0;36
"410570 Clevelândia";1;1;3;6;1;3;5;5;4;5;4;6;3;3;0;0;0;0;0;50
"410580 Colombo";23;447;948;937;928;1535;1955;1945;1546;1095;752;476;284;156;63;26;17;22;3;13158
"410590 Colorado";1;6;3;5;9;8;17;17;8;7;14;11;8;4;2;2;2;4;0;128
"410600 Congonhinhas";1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3
"410610 Conselheiro Mairinck";0;0;0;0;0;0;2;0;1;1;0;1;0;0;0;0;0;0;0;5
"410620 Contenda";5;25;25;29;21;51;47;54;42;26;13;9;4;5;2;0;1;1;0;360
"410630 Corbélia";1;6;10;12;6;13;13;15;12;10;4;6;0;2;0;0;0;0;0;110
"410640 Cornélio Procópio";3;9;16;11;14;19;36;41;30;27;22;20;10;16;9;1;0;2;0;286
"410645 Coronel Domingos Soares";0;1;0;0;1;6;3;4;0;2;0;0;0;0;1;0;0;0;0;18
"410650 Coronel Vivida";2;2;2;1;7;4;4;7;7;2;4;1;3;3;1;0;0;0;0;50
"410655 Corumbataí do Sul";0;1;0;0;4;3;0;0;1;1;1;1;1;0;0;0;0;0;0;13
"410680 Cruz Machado";0;2;2;2;1;7;3;1;1;1;1;0;0;0;0;0;0;0;0;21
"410657 Cruzeiro do Iguaçu";0;0;1;1;1;3;3;5;1;3;0;0;0;0;0;0;0;0;0;18
"410660 Cruzeiro do Oeste";2;2;5;4;0;16;25;24;15;17;12;7;2;3;0;0;0;0;0;134
"410670 Cruzeiro do Sul";0;0;1;1;0;1;0;1;2;0;1;0;0;0;0;0;0;0;0;7
"410685 Cruzmaltina";0;0;1;0;0;0;3;1;1;1;0;1;0;0;0;0;0;0;0;8
"410690 Curitiba";853;7814;20149;18463;18326;24894;35740;41688;36238;27071;21330;16901;11852;7558;4612;2666;2125;3913;175;302368
"410700 Curiúva";1;12;20;20;19;14;20;21;13;12;3;7;1;1;1;0;0;0;0;165
"410715 Diamante D'Oeste";0;0;0;0;1;2;0;0;1;0;2;1;1;0;0;0;0;0;0;8
"410710 Diamante do Norte";0;0;0;0;1;0;0;0;1;3;2;0;1;0;0;0;0;0;0;8
"410720 Dois Vizinhos";1;11;27;31;30;99;169;166;157;162;124;57;15;6;1;0;1;0;0;1057
